"xAgg1" "xAgg2" "xAgg3" "xAgg4" "xAgg5" "xAgg6" "xAgg7" "xAgg8" "xAgg9" "xAgg10" "xAgg11" "xAgg" "xcAgg1" "xcAgg2" "xcAgg3" "xcAgg4" "xcAgg5" "xcAgg6" "xcAgg7" "xcAgg8" "xcAgg9" "xcAgg10" "xcAgg11" "xcAgg" "pAgg1" "pAgg2" "pAgg3" "pAgg4" "pAgg5" "pAgg6" "pAgg7" "pAgg8" "pAgg9" "pAgg10" "pAgg11" "population3" "wAgg1" "wAgg2" "wAgg3" "wAgg4" "wAgg5" "wAgg6" "wAgg7" "wAgg8" "wAgg9" "wAgg10" "wAgg11" "xFoodUsdoc" "xFoodUsda" "xFoodNew" "pMeat1" "pMeat2" "pMeat3" "pMeat4" "cMeat1" "cMeat2" "cMeat3" "cMeat4" "xMeat1" "xMeat2" "xMeat3" "xMeat4" "xMeat" "pMeat" "pMeatNew" "xFood1" "xFood2" "xFood3" "xFood4" "xFood" "xcFood1" "xcFood2" "xcFood3" "xcFood4" "xcFood" "pFood1" "pFood2" "pFood3" "pFood4" "population12" "wFood1" "wFood2" "wFood3" "wFood4"
"1947" 40142 12364 22531 14065 5288 10714 6821 17251 7904 15138 9524 161742 71698 22092 36069 27416 9002 24972 15958 26388 12795 41904 17897 306191 56 56 62.5 51.3 58.7 42.9 42.7 65.4 61.8 36.1 53.2 144.1 0.248 0.076 0.139 0.087 0.033 0.066 0.042 0.107 0.049 0.094 0.059 40142 41937 44544 50.5 66.8 45.3 128.4 64.8 64.7 10.3 21.7 39.8 36.6 5.4 12.6 94.4 59.6 60.8 92.5 53.3 41.5 123.2 310.5 155.3 99 79.8 212.3 546.4 59.6 53.8 52.1 58 142.6 0.298 0.172 0.134 0.397
"1948" 42717 11909 24010 15851 6077 11858 7754 19735 8607 16000 10231 174749 71535 21504 36336 28997 9392 25141 17364 28985 13074 42081 18343 312752 59.7 55.4 66.1 54.7 64.7 47.2 44.7 68.1 65.8 38 55.8 146.7 0.244 0.068 0.137 0.091 0.035 0.068 0.044 0.113 0.049 0.092 0.059 42717 44805 47548 61.1 68.8 52.2 142.3 58.4 63.1 11.1 21.4 43.4 36.7 6.7 13.8 100.7 67.6 68.5 99.3 53 45 128.8 326.1 146.9 95.6 78.4 207.5 528.4 67.6 55.4 57.4 62.1 145.2 0.305 0.162 0.138 0.395
"1949" 41730 11804 23121 17684 5972 12442 7995 22079 8781 16426 10101 178135 72784 21373 36216 30993 9059 24815 17924 32350 13883 41694 18916 320007 57.3 55.2 63.8 57.1 65.9 50.1 44.6 68.3 63.3 39.4 53.4 149.3 0.234 0.066 0.13 0.099 0.034 0.07 0.045 0.124 0.049 0.092 0.057 41730 43371 46601 57 63.7 52.5 134.1 58.6 63 10.9 22.9 40.6 34 6.6 13.9 95.2 64 64.5 94.4 54.4 45.1 121 315 147.5 96.9 79.2 206.9 530.6 64 56.1 57 58.5 147.6 0.3 0.173 0.143 0.384
"1950" 42998 12141 23437 19657 6697 13242 8618 27405 9628 17670 10473 191966 73682 22133 36987 33275 9994 25220 19101 38999 15115 44129 19424 338059 58.4 54.9 63.4 59.1 67 52.5 45.1 70.3 63.7 40 53.9 151.9 0.224 0.063 0.122 0.102 0.035 0.069 0.045 0.143 0.05 0.092 0.055 42998 43992 47192 62.8 62.9 52.5 128.4 57.4 64.4 11.8 24.7 43.8 34.3 7 14.4 99.5 66.8 66.8 99.6 52.7 44.5 117.5 314.3 149.1 97.9 76.8 197.1 520.9 66.8 53.8 58 59.6 150.2 0.317 0.168 0.142 0.374
"1951" 48323 12770 25071 22049 7236 14377 9297 26349 10571 18798 12225 207066 75150 22628 36316 35870 10562 25948 20099 35710 15382 44160 20487 342312 64.3 56.4 69 61.5 68.5 55.4 46.3 73.8 68.7 42.6 59.7 154 0.233 0.062 0.121 0.106 0.035 0.069 0.045 0.127 0.051 0.091 0.059 48323 49252 52428 73.4 66.7 58.8 134.6 50.3 66.8 11.2 26.1 44.9 37.7 7.6 15.9 106.1 74.7 74.5 106.4 60.2 48.1 132.8 347.5 142.5 102.5 75.9 197.1 518 74.7 58.7 63.3 67.4 151 0.306 0.173 0.138 0.382
"1952" 50835 13655 26160 24522 7560 15519 10058 25412 10630 19645 13097 217093 77916 22775 38213 38307 10869 26696 20747 34413 15782 43299 21883 350900 65.2 60 68.5 64 69.6 58.1 48.5 73.8 67.4 45.4 59.9 156.4 0.234 0.063 0.121 0.113 0.035 0.071 0.046 0.117 0.049 0.09 0.06 50835 50932 54692 72.8 66 57.3 135.1 55.7 67.4 11.2 26.8 49.3 37.6 7.4 16.4 110.7 74 73.9 110.9 65.8 48.1 132.1 356.9 149.8 101.9 74.2 196.6 522.5 74 64.6 64.8 67.2 153.3 0.311 0.184 0.135 0.37
"1953" 51918 14005 26507 27310 7937 16689 11020 28874 11032 20973 13400 229665 80662 23142 38632 40489 11121 27262 21659 38627 16299 43789 22538 364220 64.4 60.5 68.6 67.5 71.4 61.2 50.9 74.8 67.7 47.9 59.5 159 0.226 0.061 0.115 0.119 0.035 0.073 0.048 0.126 0.048 0.091 0.058 51918 51013 55104 57.3 73.4 55.1 131.7 69.9 59.1 11.4 26.7 48.7 36.7 7.3 16 108.7 70 67.8 112.2 64.6 47.8 132.2 356.8 160.3 103.3 72.3 189.7 525.6 70 62.5 66.1 69.7 156 0.314 0.181 0.134 0.371
"1954" 53376 13809 26707 29698 8504 17083 11906 28297 11074 22091 13297 235842 82402 22425 38813 42521 11834 27007 22647 39085 16431 44957 22804 370926 64.8 61.6 68.8 69.8 71.9 63.3 52.6 72.4 67.4 49.1 58.3 161.9 0.226 0.059 0.113 0.126 0.036 0.072 0.05 0.12 0.047 0.094 0.056 53376 51140 54766 55.2 75.7 55.5 118.9 71.9 55.8 11.2 28.1 48.3 35.8 7.2 15.2 106.4 68.8 66.3 110.3 64.6 46.7 126.7 348.2 160.3 104.9 68.9 179.4 513.5 68.8 61.6 67.7 70.6 159.1 0.317 0.186 0.134 0.364
"1955" 55218 14163 27930 31719 9274 18329 12614 34705 11906 24322 13486 253666 86348 23000 40690 44789 12678 28524 23380 47305 17351 47708 23324 395097 63.9 61.6 68.6 70.8 73.2 64.3 54 73.4 68.6 51 57.8 165.1 0.218 0.056 0.11 0.125 0.037 0.072 0.05 0.137 0.047 0.096 0.053 55218 53127 56659 54.6 65.2 54.3 123.8 72.4 62.1 10.5 26.3 48.1 34.3 6.6 14.8 103.7 64.7 63 106.5 68.5 46.9 130 351.9 164.6 109.6 68.3 185.6 528.2 64.7 62.5 68.7 70 162.3 0.303 0.195 0.133 0.369
"1956" 57758 14773 29169 33965 9948 19734 13679 33688 12610 26443 14241 266008 89490 23682 41597 47116 13357 30139 24843 44623 18040 49210 24180 406277 64.5 62.4 70.1 72.1 74.5 65.5 55.1 75.5 69.9 53.7 58.9 168.1 0.217 0.056 0.11 0.128 0.037 0.074 0.051 0.127 0.047 0.099 0.054 57758 55548 58903 53.8 61.9 54.3 108.5 74.6 62.5 10.4 29.6 48.8 32.7 6.5 14.6 102.6 61.8 60.7 104.5 71.8 47.3 134.4 357.9 169 109.4 67.8 188.8 535.1 61.8 65.6 69.7 71.2 165.4 0.292 0.2 0.132 0.376
